license,startup,phd_age,researcher_interaction,firm_cash,firm_in-kind,firm_interaction,number_of_firms,research_capacity,university_faculty,university_operations,reputation_ranking,faculty_awards,research_ranking,invention_disclosures,tto_experience,tto_staff,funding,length,distance,commercialization,staff,mid-level,full_professor,distinguished,male,female,micro,small,medium,large,university,creator,cit,mm,eet,photonics,earliest,mid-stage,latest,new_school,rising_star,laggard,old_school,firm_total,proj_funding,monthly,lt15,gte15,inventions_staff,research_faculty,in-kind_ratio
1,0,,1,10743,49712,1,1,378428000,1772,9102,18,2.9,5,127,7,2.7,52968,3,570,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,60455,113423,4931.434783,1,0,47.03703704,213559.8194,0.938528923
1,0,33,2,172169,67748,1,2,129363000,2090,9670,1,3.7,17,48,25,9.5,60635,6,368,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,239917,300552,17679.52941,0,1,5.052631579,61896.17225,1.117308485
1,0,2,2,16027,38261,1,3,154062000,1598,11470,3,4.2,6,113,22,3.3,38049,13,1077,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,54288,92337,46168.5,1,0,34.24242424,96409.26158,1.005571763
1,0,,2,5314,48835,5,1,220939000,1178,11504,13,9.9,18,47,10,11.7,56764,2,423,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,54149,110913,4436.52,1,0,4.017094017,187554.3294,0.860316398
1,0,24,1,0,117966,3,2,37237000,691,10281,5,5.2,9,27,14,13.4,56764,19,909,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,117966,174730,6989.2,0,1,2.014925373,53888.56729,2.078183356
1,0,8,1,8015,87248,1,1,384682000,988,10059,6,7,3,101,25,2.1,51374,20,1395,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,95263,146637,29327.4,1,0,48.0952381,389354.251,1.698290964
1,0,9,4,0,123016,2,3,384682000,988,10059,6,7,3,101,25,2.1,66326,10,61,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,123016,189342,17212.90909,1,0,48.0952381,389354.251,1.854717607
1,0,,1,37152,119730,1,2,231197000,552,11621,16,7.9,14,50,16,5.7,59534,38,455,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,156882,216416,12730.35294,1,0,8.771929825,418835.1449,2.011119696
1,0,15,2,0,108563,0,2,231197000,552,11621,16,7.9,14,50,16,5.7,58533,8,540,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,108563,167096,8794.526316,0,1,8.771929825,418835.1449,1.854731519
1,0,9,1,7180,110919,1,1,384682000,988,10059,6,7,3,101,25,2.1,65745,28,1050,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,118099,183844,15320.33333,1,0,48.0952381,389354.251,1.687109286
1,0,,8,8925,119530,1,1,302765000,1039,10798,7,1.6,2,48,23,9.4,57209,7,715,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,128455,185664,8841.142857,1,0,5.106382979,291400.385,2.08935657
1,0,36,1,17006,93779,3,1,141384000,908,11225,14,2.8,8,63,23,8.8,54502,9,683,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,110785,165287,5903.107143,0,1,7.159090909,155709.2511,1.720652453
1,0,17,1,77630,20276,0,3,21417000,1034,9440,8,3.6,13,0,28,15,58540,5,332,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,97906,156446,22349.42857,0,1,0,20712.76596,0.346361462
1,0,3,0,62072,14615,1,1,154062000,1598,11470,3,4.2,6,113,22,3.3,54502,8,107,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,76687,131189,4685.321429,1,0,34.24242424,96409.26158,0.268155297
1,0,7,1,0,19123,0,3,378428000,1772,9102,18,2.9,5,127,7,2.7,63390,2,328,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,19123,82513,4853.705882,1,0,47.03703704,213559.8194,0.301672188
1,0,13,1,10456,41183,1,2,231197000,552,11621,16,7.9,14,50,16,5.7,55848,7,1704,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,51639,107487,5118.428571,1,0,8.771929825,418835.1449,0.737412262
1,0,21,1,43841,48057,1,1,53925000,1854,9011,17,5,7,36,25,12.9,57349,21,215,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,91898,149247,5740.269231,0,1,2.790697674,29085.76052,0.837974507
1,0,1,2,154415,43367,1,1,231197000,552,11621,16,7.9,14,50,16,5.7,64690,13,26,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,197782,262472,13814.31579,1,0,8.771929825,418835.1449,0.670381821
1,0,12,0,20513,42068,1,2,302765000,1039,10798,7,1.6,2,48,23,9.4,59765,15,277,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,62581,122346,6439.263158,1,0,5.106382979,291400.385,0.703890237
1,0,7,0,13431,102110,1,2,231197000,552,11621,16,7.9,14,50,16,5.7,66224,3,121,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,115541,181765,20196.11111,1,0,8.771929825,418835.1449,1.541888137
1,0,24,0,12541,17962,0,3,220939000,1178,11504,13,9.9,18,47,10,11.7,50240,3,276,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,30503,80743,16148.6,0,1,4.017094017,187554.3294,0.357523885
1,0,11,1,29270,11714,1,3,129363000,2090,9670,1,3.7,17,48,25,9.5,55180,15,295,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,40984,96164,3561.62963,1,0,5.052631579,61896.17225,0.212287061
0,0,31,1,14030,40192,0,2,231197000,552,11621,16,7.9,14,50,16,5.7,69177,26,247,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,54222,123399,11218.09091,0,1,8.771929825,418835.1449,0.581002356
0,0,,2,29103,32843,1,1,302765000,1039,10798,7,1.6,2,48,23,9.4,56528,25,1050,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,61946,118474,5641.619048,1,0,5.106382979,291400.385,0.581004104
0,0,6,1,6811,29875,2,1,154062000,1598,11470,3,4.2,6,113,22,3.3,54569,28,671,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,36686,91255,3146.724138,1,0,34.24242424,96409.26158,0.547472008
0,0,15,1,13120,39753,0,2,29260000,941,10951,9,5.8,4,63,8,7.9,64690,17,343,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,52873,117563,6187.526316,0,1,7.974683544,31094.58023,0.614515381
0,0,,0,48577,34033,1,3,231197000,552,11621,16,7.9,14,50,16,5.7,67689,21,732,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,82610,150299,12524.91667,1,0,8.771929825,418835.1449,0.502784795
0,0,,0,33999,25631,1,2,302765000,1039,10798,7,1.6,2,48,23,9.4,57349,26,1275,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,59630,116979,4499.192308,1,0,5.106382979,291400.385,0.446930199
0,0,,2,20751,28622,1,2,231197000,552,11621,16,7.9,14,50,16,5.7,49263,19,505,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,49373,98636,2988.969697,1,0,8.771929825,418835.1449,0.581003999
0,0,2,0,11970,30994,0,2,231197000,552,11621,16,7.9,14,50,16,5.7,59022,12,62,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,42964,101986,5099.3,1,0,8.771929825,418835.1449,0.525126224
0,0,25,0,17570,30559,3,3,225719000,1550,10654,4,4.3,10,59,16,9.2,53629,5,124,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,48129,101758,3508.896552,0,1,6.413043478,145625.1613,0.569822298
0,0,12,1,7632,18920,3,1,141384000,908,11225,14,2.8,8,63,23,8.8,37629,27,162,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,26552,64181,21393.66667,1,0,7.159090909,155709.2511,0.502803689
0,0,,3,65099,30125,0,1,423384000,1778,13152,10,6.6,15,63,21,7.6,64196,13,259,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,95224,159420,10628,1,0,8.289473684,238123.7345,0.469265998
0,0,20,1,11513,29809,0,1,141384000,908,11225,14,2.8,8,63,23,8.8,56764,10,273,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,41322,98086,3923.44,0,1,7.159090909,155709.2511,0.525139173
